dyad,id1,id2,Species,Population,group,year,id1_age,id2_age,id1_proplact,id2_proplact,hrsobs,rank1,rank2,appr,groom,aggr,kincat2,rankdiff
bf_co,bf,co,Papio_anubis,Laikipia,PHG,2016,15.89,4.80,0.34,0.00,30.50,1.00,0.13,2,0,0,Non-kin,-0.87
bf_co,bf,co,Papio_anubis,Laikipia,PHG,2017,16.78,5.41,0.60,0.00,42.50,1.00,0.13,2,0,7,Non-kin,-0.87
bf_cr,bf,cr,Papio_anubis,Laikipia,PHG,2017,16.78,5.43,0.60,0.00,42.25,1.00,0.15,0,0,1,Non-kin,-0.85
bf_fx,bf,fx,Papio_anubis,Laikipia,PHG,2013,13.33,8.02,0.50,1.00,6.00,1.00,0.82,6,2,0,Non-kin,-0.18
bf_fx,bf,fx,Papio_anubis,Laikipia,PHG,2014,13.89,8.58,0.29,0.24,68.50,1.00,0.82,7,0,0,Non-kin,-0.18
bf_fx,bf,fx,Papio_anubis,Laikipia,PHG,2015,14.94,9.63,0.62,0.61,47.75,1.00,0.82,44,6,6,Non-kin,-0.18
bf_fx,bf,fx,Papio_anubis,Laikipia,PHG,2016,15.89,10.59,0.34,0.69,43.50,1.00,0.82,14,2,2,Non-kin,-0.18
bf_fx,bf,fx,Papio_anubis,Laikipia,PHG,2017,16.78,11.48,0.60,0.13,42.50,1.00,0.82,15,0,3,Non-kin,-0.18
bf_gb,bf,gb,Papio_anubis,Laikipia,PHG,2017,16.78,4.17,0.60,0.00,26.00,1.00,0.67,1,0,0,Non-kin,-0.33
bf_gm,bf,gm,Papio_anubis,Laikipia,PHG,2014,13.89,3.74,0.29,0.00,38.00,1.00,0.67,0,0,0,Non-kin,-0.33
bf_gm,bf,gm,Papio_anubis,Laikipia,PHG,2015,14.94,4.42,0.62,0.00,47.00,1.00,0.67,16,0,4,Non-kin,-0.33
bf_gm,bf,gm,Papio_anubis,Laikipia,PHG,2016,15.89,5.37,0.34,0.07,43.00,1.00,0.67,4,2,0,Non-kin,-0.33
bf_gm,bf,gm,Papio_anubis,Laikipia,PHG,2017,16.78,6.26,0.60,0.65,42.75,1.00,0.67,23,2,0,Non-kin,-0.33
bf_gr,bf,gr,Papio_anubis,Laikipia,PHG,2016,15.89,4.44,0.34,0.00,43.00,1.00,0.38,3,0,0,Non-kin,-0.62
bf_gr,bf,gr,Papio_anubis,Laikipia,PHG,2017,16.78,5.32,0.60,0.00,42.50,1.00,0.38,6,0,0,Non-kin,-0.62
bf_gy,bf,gy,Papio_anubis,Laikipia,PHG,2016,15.89,4.16,0.34,0.00,43.25,1.00,0.58,2,0,2,Non-kin,-0.42
bf_gy,bf,gy,Papio_anubis,Laikipia,PHG,2017,16.78,5.06,0.60,0.00,42.75,1.00,0.58,4,0,6,Non-kin,-0.42
bf_ky,bf,ky,Papio_anubis,Laikipia,PHG,2015,14.94,4.23,0.62,0.00,26.75,1.00,0.60,2,0,0,Non-kin,-0.40
bf_o6,bf,o6,Papio_anubis,Laikipia,PHG,2014,13.89,4.84,0.29,0.00,48.50,1.00,0.14,5,0,0,Non-kin,-0.86
bf_o6,bf,o6,Papio_anubis,Laikipia,PHG,2015,14.94,5.51,0.62,0.00,39.25,1.00,0.14,14,0,0,Non-kin,-0.86
bf_oa,bf,oa,Papio_anubis,Laikipia,PHG,2013,13.33,12.21,0.50,0.00,6.00,1.00,0.68,2,0,0,Non-kin,-0.32
bf_oa,bf,oa,Papio_anubis,Laikipia,PHG,2014,13.89,12.78,0.29,0.32,67.00,1.00,0.68,64,12,0,Non-kin,-0.32
bf_oa,bf,oa,Papio_anubis,Laikipia,PHG,2015,14.94,13.70,0.62,0.82,40.75,1.00,0.68,110,10,0,Non-kin,-0.32
bf_ob,bf,ob,Papio_anubis,Laikipia,PHG,2013,13.33,5.38,0.50,0.00,6.25,1.00,0.43,0,0,0,Non-kin,-0.57
bf_ob,bf,ob,Papio_anubis,Laikipia,PHG,2014,13.89,5.96,0.29,0.16,66.75,1.00,0.43,27,5,1,Non-kin,-0.57
bf_ob,bf,ob,Papio_anubis,Laikipia,PHG,2015,14.94,7.03,0.62,0.03,31.25,1.00,0.43,6,0,0,Non-kin,-0.57
bf_oo,bf,oo,Papio_anubis,Laikipia,PHG,2013,13.33,6.65,0.50,1.00,6.25,1.00,0.54,7,1,2,Non-kin,-0.46
bf_oo,bf,oo,Papio_anubis,Laikipia,PHG,2014,13.89,7.21,0.29,0.17,67.25,1.00,0.54,23,0,1,Non-kin,-0.46
bf_oo,bf,oo,Papio_anubis,Laikipia,PHG,2015,14.94,8.30,0.62,1.00,31.25,1.00,0.54,2,0,0,Non-kin,-0.46
bf_oy,bf,oy,Papio_anubis,Laikipia,PHG,2013,13.33,6.65,0.50,0.00,5.50,1.00,0.03,0,0,0,Non-kin,-0.97
bf_oy,bf,oy,Papio_anubis,Laikipia,PHG,2014,13.89,7.22,0.29,0.59,67.25,1.00,0.03,25,2,0,Non-kin,-0.97
bf_oy,bf,oy,Papio_anubis,Laikipia,PHG,2015,14.94,8.27,0.62,0.00,47.50,1.00,0.03,8,0,4,Non-kin,-0.97
bf_oy,bf,oy,Papio_anubis,Laikipia,PHG,2016,15.89,9.22,0.34,0.95,43.00,1.00,0.03,20,1,2,Non-kin,-0.97
bf_oy,bf,oy,Papio_anubis,Laikipia,PHG,2017,16.78,10.11,0.60,0.51,42.50,1.00,0.03,5,0,0,Non-kin,-0.97
bf_tm,bf,tm,Papio_anubis,Laikipia,PHG,2015,14.94,4.25,0.62,0.00,35.25,1.00,0.51,2,0,2,Non-kin,-0.50
bf_tr,bf,tr,Papio_anubis,Laikipia,PHG,2013,13.33,11.50,0.50,0.73,5.75,1.00,0.61,4,0,0,Non-kin,-0.39
bf_tr,bf,tr,Papio_anubis,Laikipia,PHG,2014,13.89,12.06,0.29,0.19,69.00,1.00,0.61,14,4,0,Non-kin,-0.39
bf_tr,bf,tr,Papio_anubis,Laikipia,PHG,2015,14.94,13.04,0.62,0.27,42.25,1.00,0.61,8,0,0,Non-kin,-0.39
bf_ty,bf,ty,Papio_anubis,Laikipia,PHG,2013,13.33,4.32,0.50,0.00,5.75,1.00,0.40,0,0,0,Non-kin,-0.60
bf_ty,bf,ty,Papio_anubis,Laikipia,PHG,2014,13.89,4.89,0.29,0.00,66.75,1.00,0.40,1,0,3,Non-kin,-0.60
bf_ty,bf,ty,Papio_anubis,Laikipia,PHG,2015,14.94,5.94,0.62,0.10,45.50,1.00,0.40,6,0,4,Non-kin,-0.60
bf_ty,bf,ty,Papio_anubis,Laikipia,PHG,2016,15.89,6.89,0.34,0.54,43.00,1.00,0.40,14,0,0,Non-kin,-0.60
bf_ty,bf,ty,Papio_anubis,Laikipia,PHG,2017,16.78,7.77,0.60,0.43,42.25,1.00,0.40,12,0,0,Non-kin,-0.60
bf_ug,bf,ug,Papio_anubis,Laikipia,PHG,2013,13.33,5.09,0.50,0.00,6.25,1.00,0.20,0,0,0,Non-kin,-0.80
bf_ug,bf,ug,Papio_anubis,Laikipia,PHG,2014,13.89,5.66,0.29,0.00,67.75,1.00,0.20,2,0,0,Non-kin,-0.80
bf_ug,bf,ug,Papio_anubis,Laikipia,PHG,2015,14.94,6.71,0.62,0.46,46.25,1.00,0.20,16,4,4,Non-kin,-0.80
bf_ug,bf,ug,Papio_anubis,Laikipia,PHG,2016,15.89,7.66,0.34,0.40,43.25,1.00,0.20,34,3,0,Non-kin,-0.80
bf_ug,bf,ug,Papio_anubis,Laikipia,PHG,2017,16.78,8.55,0.60,0.49,42.50,1.00,0.20,6,0,0,Non-kin,-0.80
bf_uj,bf,uj,Papio_anubis,Laikipia,PHG,2014,13.89,4.30,0.29,0.00,59.25,1.00,0.25,4,0,4,Non-kin,-0.75
bf_uj,bf,uj,Papio_anubis,Laikipia,PHG,2015,14.94,5.24,0.62,0.00,46.50,1.00,0.25,22,0,6,Non-kin,-0.75
bf_uj,bf,uj,Papio_anubis,Laikipia,PHG,2016,15.89,6.18,0.34,0.69,43.00,1.00,0.25,41,11,4,Non-kin,-0.75
bf_uj,bf,uj,Papio_anubis,Laikipia,PHG,2017,16.78,7.07,0.60,0.00,42.25,1.00,0.25,7,0,3,Non-kin,-0.75
bf_un,bf,un,Papio_anubis,Laikipia,PHG,2013,13.33,13.02,0.50,0.00,6.00,1.00,0.10,0,0,1,Non-kin,-0.90
bf_un,bf,un,Papio_anubis,Laikipia,PHG,2014,13.89,13.60,0.29,0.48,67.75,1.00,0.10,30,7,3,Non-kin,-0.90
bf_un,bf,un,Papio_anubis,Laikipia,PHG,2015,14.94,14.65,0.62,0.41,45.50,1.00,0.10,34,0,6,Non-kin,-0.90
bf_un,bf,un,Papio_anubis,Laikipia,PHG,2016,15.89,15.60,0.34,0.08,43.25,1.00,0.10,11,0,0,Non-kin,-0.90
bf_un,bf,un,Papio_anubis,Laikipia,PHG,2017,16.78,16.49,0.60,0.62,42.50,1.00,0.10,18,2,1,Non-kin,-0.90
bf_ur,bf,ur,Papio_anubis,Laikipia,PHG,2013,13.33,11.32,0.50,1.00,6.00,1.00,0.48,2,0,0,Non-kin,-0.52
bf_ur,bf,ur,Papio_anubis,Laikipia,PHG,2014,13.89,11.89,0.29,0.26,67.75,1.00,0.48,31,0,3,Non-kin,-0.52
bf_ur,bf,ur,Papio_anubis,Laikipia,PHG,2015,14.94,12.94,0.62,0.58,46.50,1.00,0.48,70,2,22,Non-kin,-0.52
bf_ur,bf,ur,Papio_anubis,Laikipia,PHG,2016,15.89,13.89,0.34,0.68,43.00,1.00,0.48,23,2,1,Non-kin,-0.52
